                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.89545,                0.65418,                 1.0349,                0.90194,                0.73675,                0.88078,                0.68817,                0.84989,                 0.7146,                 1.0244,             0.00093868,             0.00093868,             0.00093868
                     49,                0.89329,                  0.632,                 1.0224,                 0.8756,                0.79922,                 0.9079,                0.71695,                 0.7436,                0.62982,                 1.0104,             0.00093502,             0.00093502,             0.00093502
                     50,                0.87987,                0.63074,                 1.0252,                0.93009,                 0.8648,                0.90828,                0.72661,                0.75188,                 0.6347,                 1.0265,             0.00093135,             0.00093135,             0.00093135
                     51,                0.91497,                0.62041,                 1.0354,                0.91845,                0.82657,                0.91843,                0.73117,                0.73875,                0.62233,                 1.0478,             0.00092769,             0.00092769,             0.00092769
                     52,                0.90739,                0.65772,                 1.0289,                0.84995,                 0.8246,                0.89527,                0.71614,                0.75486,                0.64402,                 1.0174,             0.00092402,             0.00092402,             0.00092402
                     53,                 0.8736,                0.62596,                 1.0273,                0.87321,                0.81043,                0.89908,                0.72384,                0.73325,                0.62329,                0.99915,             0.00092035,             0.00092035,             0.00092035
                     54,                0.89486,                0.62247,                 1.0307,                0.82486,                0.79767,                0.88362,                0.70797,                 0.7594,                0.73249,                 1.0398,             0.00091669,             0.00091669,             0.00091669
                     55,                0.89403,                0.63772,                 1.0371,                0.86657,                0.71661,                0.83344,                  0.627,                0.91976,                0.83914,                  1.093,             0.00091302,             0.00091302,             0.00091302
                     56,                0.86168,                0.61537,                  1.003,                0.87283,                0.71933,                0.83812,                0.65071,                0.88797,                0.75572,                 1.1243,             0.00090935,             0.00090935,             0.00090935
                     57,                0.85704,                0.60691,                 1.0136,                0.90579,                0.74204,                0.87576,                0.69753,                0.76333,                0.71925,                 1.0168,             0.00090569,             0.00090569,             0.00090569
                     58,                0.90139,                0.63109,                 1.0205,                0.89314,                0.70705,                0.85529,                0.68436,                 0.7638,                 0.7391,                 1.0042,             0.00090202,             0.00090202,             0.00090202
                     59,                0.91829,                0.65468,                 1.0292,                 0.8813,                0.81731,                 0.8822,                0.72073,                0.71244,                0.61223,                0.97441,             0.00089835,             0.00089835,             0.00089835
                     60,                0.85988,                0.61141,                 1.0219,                0.87927,                0.82186,                0.90109,                0.71963,                0.72854,                0.68621,                 1.0037,             0.00089469,             0.00089469,             0.00089469
                     61,                 0.8493,                0.62391,                 1.0142,                0.92981,                0.75764,                0.89411,                0.71748,                0.76854,                0.76702,                  1.018,             0.00089102,             0.00089102,             0.00089102
                     62,                0.85911,                0.59936,                 1.0039,                0.90763,                 0.7467,                0.88321,                0.72656,                0.73561,                0.68275,                 1.0073,             0.00088736,             0.00088736,             0.00088736
                     63,                0.81223,                0.58283,                0.99602,                0.92024,                0.77673,                 0.9007,                0.73907,                0.72124,                0.70543,                0.99025,             0.00088369,             0.00088369,             0.00088369
                     64,                 0.8651,                0.61626,                 1.0142,                0.91665,                0.73464,                0.86792,                0.70844,                0.71201,                0.72124,                 1.0197,             0.00088002,             0.00088002,             0.00088002
                     65,                0.84599,                0.57929,                0.99326,                0.84795,                0.77877,                0.88409,                0.72264,                0.69255,                0.66186,                 1.0013,             0.00087636,             0.00087636,             0.00087636
                     66,                 0.8469,                0.60142,                 1.0158,                0.90163,                0.82324,                0.91265,                0.74684,                0.68111,                0.61997,                0.99279,             0.00087269,             0.00087269,             0.00087269
                     67,                0.86502,                0.62026,                 1.0087,                0.89293,                0.81721,                0.90593,                0.73377,                0.70668,                0.66653,                0.98385,             0.00086902,             0.00086902,             0.00086902
                     68,                0.84851,                0.59955,                0.99378,                0.92391,                0.82157,                0.90628,                0.74285,                0.72221,                0.57496,                0.95417,             0.00086536,             0.00086536,             0.00086536
                     69,                0.79971,                0.56046,                0.99562,                0.91057,                0.81679,                0.91755,                0.75637,                0.63601,                0.59202,                0.94337,             0.00086169,             0.00086169,             0.00086169
                     70,                0.84585,                0.59696,                 1.0067,                 0.8959,                0.81073,                0.91504,                0.75236,                0.64362,                0.59792,                0.94772,             0.00085803,             0.00085803,             0.00085803
                     71,                0.86175,                0.60099,                 1.0116,                0.87491,                0.83586,                0.88481,                0.72012,                0.75845,                0.66103,                0.99079,             0.00085436,             0.00085436,             0.00085436
                     72,                0.82854,                0.59226,                0.99133,                0.87952,                0.76564,                 0.8565,                 0.7043,                0.78888,                 0.6923,                  1.042,             0.00085069,             0.00085069,             0.00085069
                     73,                0.81898,                0.57548,                0.98534,                0.90908,                0.82763,                0.90373,                0.75126,                0.70737,                0.62804,                0.99051,             0.00084703,             0.00084703,             0.00084703
                     74,                0.76279,                0.53282,                0.96955,                0.90852,                0.81713,                0.89529,                0.73063,                0.73447,                0.62228,                0.98201,             0.00084336,             0.00084336,             0.00084336
                     75,                0.81141,                 0.5628,                0.99239,                0.93045,                0.78467,                0.90834,                0.75124,                0.68806,                0.57152,                0.96675,             0.00083969,             0.00083969,             0.00083969
                     76,                0.79492,                0.56037,                0.98847,                0.97156,                0.78319,                0.91357,                0.74206,                0.67896,                0.55171,                 0.9533,             0.00083603,             0.00083603,             0.00083603
                     77,                0.78868,                 0.5614,                0.98962,                0.98016,                0.77634,                0.89661,                0.74215,                0.70366,                0.57153,                 0.9566,             0.00083236,             0.00083236,             0.00083236
                     78,                0.76526,                0.54842,                0.98026,                0.95107,                0.82239,                0.88809,                0.72605,                0.74291,                0.61048,                  0.967,             0.00082869,             0.00082869,             0.00082869
                     79,                0.79733,                0.55559,                 0.9715,                0.93672,                0.79229,                0.91799,                 0.7453,                0.71916,                0.61978,                 0.9576,             0.00082503,             0.00082503,             0.00082503
                     80,                0.76684,                 0.5314,                0.97536,                0.90251,                0.80051,                0.91407,                0.72274,                0.70915,                0.58752,                0.96127,             0.00082136,             0.00082136,             0.00082136
                     81,                 0.7483,                0.54436,                 0.9652,                0.85715,                0.81609,                0.90042,                0.70906,                0.72547,                0.65056,                0.97627,              0.0008177,              0.0008177,              0.0008177
                     82,                0.81453,                0.56804,                0.99511,                0.91674,                0.87771,                0.93387,                0.73941,                0.71548,                0.58083,                0.98118,             0.00081403,             0.00081403,             0.00081403
                     83,                0.76355,                0.54094,                0.96428,                0.92473,                0.83763,                0.93149,                0.77315,                0.63924,                0.53446,                 0.9484,             0.00081036,             0.00081036,             0.00081036
                     84,                0.81682,                0.54688,                0.97715,                 0.9056,                0.81249,                0.91043,                0.72027,                0.75215,                0.60186,                0.98151,              0.0008067,              0.0008067,              0.0008067
                     85,                0.78778,                0.55551,                0.98337,                0.93362,                0.83151,                 0.9127,                0.73966,                0.71316,                0.57668,                0.98123,             0.00080303,             0.00080303,             0.00080303
                     86,                0.77707,                0.54804,                0.96992,                0.96513,                0.82283,                0.92317,                0.76822,                0.71073,                0.54574,                 1.0072,             0.00079936,             0.00079936,             0.00079936
                     87,                0.79279,                0.54548,                0.97342,                0.93464,                0.83674,                0.93355,                0.77287,                 0.6628,                0.51025,                0.97403,              0.0007957,              0.0007957,              0.0007957
                     88,                0.76331,                0.54413,                0.96475,                 0.9466,                0.80077,                0.91643,                0.76375,                 0.6804,                0.57449,                 0.9674,             0.00079203,             0.00079203,             0.00079203
                     89,                0.78811,                0.55325,                0.97179,                 0.9325,                0.77702,                0.90633,                0.75233,                 0.6235,                0.60364,                0.93679,             0.00078837,             0.00078837,             0.00078837
                     90,                0.77847,                0.54754,                 0.9697,                0.90015,                0.75833,                0.90135,                0.74054,                0.69461,                0.66523,                0.97343,              0.0007847,              0.0007847,              0.0007847
